City,State,Median Age,Male Population,Female Population,Total Population,Foreign-born,Average Household Size,State Code
Denver,Colorado,34.1,341137.0,341408.0,682545,113222.0,2.33,CO
Provo,Utah,23.6,56231.0,59027.0,115258,10925.0,3.28,UT
Hampton,Virginia,35.5,66214.0,70240.0,136454,6204.0,2.48,VA
Birmingham,Alabama,35.6,102122.0,112789.0,214911,8258.0,2.21,AL
Greeley,Colorado,31.0,50792.0,50091.0,100883,11480.0,2.75,CO
Spring Valley,Nevada,37.0,96808.0,97147.0,193955,61072.0,2.79,NV
Tustin,California,33.4,39511.0,41052.0,80563,25034.0,3.27,CA
Springfield,Massachusetts,31.8,74744.0,79592.0,154336,16226.0,2.81,MA
Fort Wayne,Indiana,34.7,124815.0,133329.0,258144,19146.0,2.45,IN
Santa Ana,California,30.8,167503.0,167920.0,335423,152999.0,4.58,CA
Dayton,Ohio,32.8,66631.0,73966.0,140597,7381.0,2.26,OH
Redondo Beach,California,43.0,34855.0,33330.0,68185,13536.0,2.34,CA
Shawnee,Kansas,40.1,32313.0,32745.0,65058,4136.0,2.64,KS
Bethlehem,Pennsylvania,35.1,35861.0,38506.0,74367,6295.0,2.46,PA
Pasadena,California,37.6,67712.0,74534.0,142246,40779.0,2.63,CA
Somerville,Massachusetts,31.0,41028.0,39306.0,80334,22292.0,2.43,MA
Muncie,Indiana,27.4,32446.0,37255.0,69701,1062.0,2.35,IN
Sparks,Nevada,36.1,47780.0,48318.0,96098,15690.0,2.63,NV
Compton,California,30.1,49264.0,49184.0,98448,30660.0,4.08,CA
Jurupa Valley,California,33.8,49430.0,50884.0,100314,25338.0,3.87,CA
Buena Park,California,35.7,41593.0,41671.0,83264,28430.0,3.55,CA
Tampa,Florida,35.3,175517.0,193511.0,369028,58795.0,2.47,FL
Midland,Texas,32.1,66595.0,66355.0,132950,17061.0,2.78,TX
Rialto,California,31.6,49902.0,53235.0,103137,32741.0,3.83,CA
Pomona,California,32.1,74945.0,78307.0,153252,53879.0,3.63,CA
Arlington,Virginia,34.4,113981.0,115183.0,229164,55205.0,2.19,VA
Portland,Maine,40.3,31480.0,35392.0,66872,9229.0,2.13,ME
Kenosha,Wisconsin,36.3,49349.0,50507.0,99856,7443.0,2.55,WI
Racine,Wisconsin,33.7,39314.0,38423.0,77737,4403.0,2.56,WI
Garden Grove,California,37.8,86779.0,88605.0,175384,80677.0,3.66,CA
Longview,Texas,36.8,40065.0,41525.0,81590,8782.0,2.55,TX
Detroit,Michigan,34.8,319265.0,357859.0,677124,39861.0,2.6,MI
Temple,Texas,33.6,33512.0,38785.0,72297,3968.0,2.59,TX
Mountain View,California,33.5,42493.0,37945.0,80438,31857.0,2.46,CA
Omaha,Nebraska,34.2,218789.0,225098.0,443887,48263.0,2.47,NE
Athens-Clarke County unified government,Georgia,26.5,57415.0,65148.0,122563,12868.0,2.44,GA
Scottsdale,Arizona,46.9,115712.0,121132.0,236844,27207.0,2.17,AZ
Scranton,Pennsylvania,38.5,37975.0,39137.0,77112,8069.0,2.39,PA
Union City,New Jersey,35.4,35376.0,33773.0,69149,40553.0,2.85,NJ
New Britain,Connecticut,33.4,37350.0,35459.0,72809,15080.0,2.52,CT
El Cajon,California,32.7,54450.0,49238.0,103688,31865.0,3.14,CA
Kenner,Louisiana,36.9,33993.0,33113.0,67106,12352.0,2.5700000000000003,LA
Allen,Pennsylvania,33.5,60626.0,59581.0,120207,19652.0,2.67,PA
East Los Angeles,California,32.6,60460.0,59206.0,119666,49575.0,3.75,CA
Saint Louis,Missouri,35.0,153026.0,162659.0,315685,21802.0,2.16,MO
Pleasanton,California,41.3,36662.0,42857.0,79519,23208.0,2.87,CA
Gulfport,Mississippi,35.1,33108.0,38764.0,71872,3072.0,2.54,MS
Wilmington,North Carolina,35.5,52346.0,63601.0,115947,7401.0,2.24,NC
Centreville,Virginia,36.0,34749.0,37033.0,71782,27797.0,2.969999999999999,VA
Kirkland,Washington,40.8,42159.0,45108.0,87267,18570.0,2.3,WA
Escondido,California,33.3,76551.0,74907.0,151458,46298.0,3.27,CA
Macon,Georgia,36.0,71833.0,81626.0,153459,4846.0,2.46,GA
Kennewick,Washington,32.0,38492.0,40411.0,78903,8376.0,2.78,WA
Edinburg,Texas,29.3,39422.0,45079.0,84501,16569.0,3.31,TX
Fishers,Indiana,34.5,42161.0,43910.0,86071,6138.0,2.8,IN
Brandon,Florida,36.1,55679.0,58289.0,113968,16390.0,2.64,FL
Marysville,Washington,33.2,33436.0,33337.0,66773,7721.0,2.79,WA
Schenectady,New York,36.7,32398.0,32901.0,65299,10961.0,2.8200000000000003,NY
Columbus,Georgia,33.7,98785.0,101794.0,200579,10376.0,2.62,GA
Erie,Pennsylvania,35.3,48618.0,50852.0,99470,6275.0,2.31,PA
Kendall,Florida,40.2,36658.0,39808.0,76466,31180.0,2.81,FL
Albany,New York,32.8,47627.0,50825.0,98452,11948.0,2.08,NY
Saint Charles,Missouri,34.9,32054.0,36747.0,68801,5274.0,2.33,MO
Hartford,Connecticut,31.0,58042.0,65972.0,124014,28467.0,2.59,CT
Waldorf,Maryland,33.6,35640.0,39872.0,75512,5954.0,2.69,MD
Apple Valley,California,34.3,32873.0,39312.0,72185,5801.0,3.03,CA
Danbury,Connecticut,37.3,43435.0,41227.0,84662,25675.0,2.74,CT
Jersey City,New Jersey,34.3,131765.0,132512.0,264277,109186.0,2.5700000000000003,NJ
Metairie,Louisiana,41.6,69515.0,76943.0,146458,19871.0,2.39,LA
Rio Rancho,New Mexico,38.3,47251.0,46904.0,94155,5200.0,2.86,NM
Hemet,California,36.8,38622.0,45251.0,83873,13330.0,2.969999999999999,CA
Cleveland,Ohio,36.0,186436.0,201623.0,388059,18830.0,2.24,OH
Thornton,Colorado,33.1,65482.0,67977.0,133459,17949.0,2.969999999999999,CO
Columbia,South Carolina,28.0,67686.0,65707.0,133393,6074.0,2.32,SC
Enterprise,Nevada,34.1,69146.0,66328.0,135474,31173.0,2.89,NV
Ellicott City,Maryland,42.4,34406.0,36526.0,70932,17587.0,2.73,MD
Bk,California,37.0,50405.0,54909.0,105314,32435.0,2.52,CA
Houston,Texas,32.6,1149686.0,1148942.0,2298628,696210.0,2.66,TX
Oceanside,California,39.4,87482.0,88232.0,175714,37492.0,2.719999999999999,CA
Orange,California,35.0,67337.0,73658.0,140995,34550.0,3.14,CA
German,Maryland,34.9,41115.0,43007.0,84122,27877.0,2.95,MD
Pittsburg,California,34.5,33309.0,36118.0,69427,21043.0,3.15,CA
Berkeley,California,32.5,60142.0,60829.0,120971,25000.0,2.35,CA
New Bedford,Massachusetts,38.6,43793.0,51166.0,94959,19024.0,2.39,MA
Carlsbad,California,42.1,55119.0,58347.0,113466,17689.0,2.68,CA
Alexandria,Virginia,36.6,74989.0,78522.0,153511,44030.0,2.2,VA
Overland Park,Kansas,38.2,93355.0,93156.0,186511,21407.0,2.41,KS
Melbourne,Florida,43.4,39180.0,40956.0,80136,9685.0,2.37,FL
Sioux Falls,South Dakota,34.6,86596.0,84934.0,171530,12934.0,2.38,SD
Huntsville,Alabama,38.1,91764.0,97350.0,189114,12691.0,2.18,AL
Turlock,California,36.2,33190.0,39103.0,72293,14686.0,2.76,CA
Gainesville,Florida,26.0,60803.0,69330.0,130133,15272.0,2.33,FL
Champaign,Illinois,28.7,43326.0,42760.0,86086,12261.0,2.25,IL
Inglewood,California,34.9,52995.0,58661.0,111656,34171.0,3.12,CA
Saint Joseph,Missouri,35.7,37688.0,38408.0,76096,3755.0,2.58,MO
Brockton,Massachusetts,35.2,46273.0,49041.0,95314,27313.0,2.88,MA
Tulsa,Oklahoma,35.0,197437.0,205654.0,403091,43751.0,2.37,OK
North Las Vegas,Nevada,32.2,116350.0,118443.0,234793,49815.0,3.31,NV
Westminster,Colorado,37.8,54866.0,58251.0,113117,11361.0,2.63,CO
Lakewood,Colorado,37.7,76013.0,76576.0,152589,14169.0,2.29,CO
San Jose,California,36.5,518317.0,508602.0,1026919,401493.0,3.13,CA
Irvine,California,34.6,125411.0,131516.0,256927,116366.0,2.73,CA
Bossier City,Louisiana,32.7,33428.0,34669.0,68097,2980.0,2.4,LA
Columbus,Ohio,32.5,413981.0,435086.0,849067,101129.0,2.4,OH
Clearwater,Florida,47.0,55225.0,57754.0,112979,17686.0,2.4,FL
Syracuse,New York,30.3,69462.0,74690.0,144152,17733.0,2.39,NY
Palm Bay,Florida,40.7,51767.0,56128.0,107895,12070.0,2.8200000000000003,FL
Vacaville,California,35.8,50091.0,46703.0,96794,10577.0,2.9,CA
Glen Burnie,Maryland,36.5,33398.0,36461.0,69859,6971.0,2.58,MD
Broomfield,Colorado,36.8,31755.0,33310.0,65065,5316.0,2.53,CO
Pittsburgh,Pennsylvania,32.9,149690.0,154695.0,304385,28187.0,2.13,PA
Memphis,Tennessee,34.1,312237.0,343523.0,655760,43318.0,2.55,TN
Appleton,Wisconsin,35.6,37217.0,38038.0,75255,4454.0,2.49,WI
Green Bay,Wisconsin,32.9,52517.0,52704.0,105221,9813.0,2.37,WI
Upland,California,39.7,36226.0,40221.0,76447,16552.0,2.77,CA
Virginia Beach,Virginia,35.4,222684.0,230061.0,452745,38360.0,2.61,VA
Springdale,Arkansas,31.8,36840.0,43614.0,80454,19969.0,3.04,AR
Saint Paul,Minnesota,31.5,149547.0,151293.0,300840,56514.0,2.58,MN
Nashua,New Hampshire,38.3,42926.0,45049.0,87975,12693.0,2.46,NH
Napa,California,37.2,39828.0,40601.0,80429,18449.0,2.84,CA
Huntington Beach,California,41.6,99967.0,101960.0,201927,35368.0,2.67,CA
Brentwood,New York,34.2,31395.0,32397.0,63792,27058.0,4.98,NY
Rochester,Minnesota,35.0,54934.0,57282.0,112216,17763.0,2.55,MN
New Rochelle,New York,40.6,38871.0,40967.0,79838,26960.0,2.85,NY
Spokane,Washington,36.6,102756.0,110511.0,213267,13253.0,2.34,WA
Beaumont,Texas,31.6,57326.0,60784.0,118110,10516.0,2.47,TX
Canton,Ohio,33.4,34476.0,37419.0,71895,2204.0,2.32,OH
Richmond,California,35.3,52615.0,57100.0,109715,42215.0,2.87,CA
Charlotte,North Carolina,34.3,396646.0,430475.0,827121,128897.0,2.52,NC
Santa Monica,California,40.6,46732.0,46487.0,93219,24448.0,2.0,CA
Bloomington,Indiana,23.5,40588.0,43227.0,83815,10033.0,2.33,IN
Durham,North Carolina,33.2,121153.0,136445.0,257598,38642.0,2.4,NC
Indio,California,35.9,43803.0,43723.0,87526,22538.0,3.08,CA
Rock Hill,South Carolina,34.5,33324.0,38243.0,71567,2413.0,2.29,SC
Newark,New Jersey,34.6,138040.0,143873.0,281913,86253.0,2.73,NJ
Ames,Iowa,23.0,33814.0,31238.0,65052,8606.0,2.16,IA
Santa Clara,California,35.2,63278.0,62938.0,126216,52281.0,2.75,CA
New Orleans,Louisiana,35.9,185736.0,203881.0,389617,21679.0,2.41,LA
Warwick,Rhode Island,42.6,39289.0,42409.0,81698,5318.0,2.4,RI
Spring Hill,Florida,45.1,48295.0,54902.0,103197,7893.0,2.58,FL
Tallahassee,Florida,26.2,89390.0,100504.0,189894,16720.0,2.38,FL
Lynchburg,Virginia,28.7,38614.0,41198.0,79812,4364.0,2.48,VA
Westminster,California,42.9,45538.0,46573.0,92111,42227.0,3.27,CA
Paradise,Nevada,37.2,122784.0,114162.0,236946,66712.0,2.65,NV
Lynwood,California,29.4,35634.0,36371.0,72005,28061.0,4.43,CA
Camarillo,California,40.8,31941.0,35682.0,67623,9735.0,2.77,CA
Lake Forest,California,40.3,41515.0,40982.0,82497,20784.0,2.76,CA
Naperville,Illinois,38.5,71365.0,75794.0,147159,30399.0,2.76,IL
Boise,Idaho,34.9,110099.0,108181.0,218280,13409.0,2.61,ID
Stockton,California,32.5,150976.0,154674.0,305650,79583.0,3.16,CA
Lawrence,Kansas,27.4,45592.0,48324.0,93916,8701.0,2.53,KS
Peoria,Illinois,33.1,56229.0,62432.0,118661,7517.0,2.4,IL
O'Fallon,Missouri,36.0,41762.0,43270.0,85032,3269.0,2.77,MO
Mesa,Arizona,36.9,234998.0,236835.0,471833,57492.0,2.68,AZ
Bryan,Texas,29.4,41761.0,40345.0,82106,12014.0,2.55,TX
Garland,Texas,34.5,116406.0,120430.0,236836,62975.0,3.12,TX
Springfield,Illinois,38.8,55639.0,62170.0,117809,4264.0,2.22,IL
Flint,Michigan,35.3,48984.0,49313.0,98297,2138.0,2.38,MI
Tacoma,Washington,37.7,100914.0,107036.0,207950,31863.0,2.48,WA
Waterbury,Connecticut,36.2,52235.0,56572.0,108807,19967.0,2.71,CT
Eagan,Minnesota,36.8,31587.0,34701.0,66288,8642.0,2.49,MN
Fort Smith,Arkansas,34.9,43346.0,44849.0,88195,13177.0,2.44,AR
Carmichael,California,41.0,29281.0,33934.0,63215,7378.0,2.39,CA
Daly City,California,39.7,53817.0,52757.0,106574,56640.0,3.26,CA
Murrieta,California,35.3,49363.0,60453.0,109816,19875.0,3.3,CA
Quincy,Massachusetts,41.0,44129.0,49500.0,93629,32935.0,2.39,MA
Boulder,Colorado,29.0,56342.0,51000.0,107342,12993.0,2.24,CO
Evanston,Illinois,36.8,34146.0,41377.0,75523,15003.0,2.29,IL
Dothan,Alabama,38.9,32172.0,35364.0,67536,1699.0,2.59,AL
Antioch,California,34.0,54733.0,55809.0,110542,24942.0,3.31,CA
Madison,Wisconsin,30.7,122596.0,126360.0,248956,30090.0,2.23,WI
Victorville,California,30.6,60989.0,61247.0,122236,21959.0,3.47,CA
Billings,Montana,36.3,52705.0,57565.0,110270,3206.0,2.4,MT
Sandy Springs,Georgia,35.4,48570.0,56777.0,105347,19837.0,2.4,GA
Iowa City,Iowa,25.5,37089.0,37138.0,74227,9202.0,2.36,IA
Largo,Florida,45.1,38166.0,42841.0,81007,10489.0,2.28,FL
Shreveport,Louisiana,35.2,93138.0,103856.0,196994,5658.0,2.53,LA
Kalamazoo,Michigan,26.4,37175.0,38865.0,76040,3482.0,2.36,MI
Round Rock,Texas,34.9,56646.0,59193.0,115839,18237.0,3.13,TX
Columbia,Missouri,26.8,56544.0,62554.0,119098,10729.0,2.37,MO
Sandy,Utah,34.6,46923.0,46689.0,93612,6691.0,3.22,UT
Hoover,Alabama,38.5,38040.0,46799.0,84839,8229.0,2.58,AL
Fullerton,California,34.5,69549.0,71300.0,140849,43404.0,2.969999999999999,CA
Rapid City,South Dakota,39.5,36122.0,37446.0,73568,2375.0,2.31,SD
Newport Beach,California,46.8,43161.0,43970.0,87131,15318.0,2.4,CA
Palm Coast,Florida,48.8,39489.0,42632.0,82121,9084.0,2.76,FL
Albany,Georgia,33.3,31695.0,39414.0,71109,861.0,2.38,GA
Providence,Rhode Island,29.9,89090.0,90114.0,179204,53532.0,2.719999999999999,RI
Decatur,Illinois,40.4,34646.0,38210.0,72856,1224.0,2.23,IL
Anaheim,California,33.6,179603.0,171135.0,350738,137133.0,3.45,CA
Rochester,New York,31.4,100135.0,109673.0,209808,17735.0,2.36,NY
Buffalo,New York,33.1,124537.0,133529.0,258066,24630.0,2.27,NY
Richmond,Virginia,33.6,104793.0,115496.0,220289,15741.0,2.29,VA
Sunnyvale,California,35.7,79480.0,72280.0,151760,71441.0,2.74,CA
Augusta-Richmond County consolidated government,Georgia,33.7,94662.0,101917.0,196579,7915.0,2.67,GA
Milwaukee,Wisconsin,31.6,286315.0,313839.0,600154,58321.0,2.51,WI
Conroe,Texas,31.5,34907.0,33685.0,68592,13839.0,2.65,TX
Savannah,Georgia,30.3,69389.0,76295.0,145684,10355.0,2.5700000000000003,GA
Costa Mesa,California,34.8,59097.0,54089.0,113186,26645.0,2.59,CA
New Haven,Connecticut,29.9,63765.0,66545.0,130310,25871.0,2.48,CT
Westland,Michigan,39.9,37742.0,44253.0,81995,6429.0,2.41,MI
Cedar Rapids,Iowa,36.2,63109.0,67296.0,130405,5404.0,2.32,IA
Troy,Michigan,43.3,42371.0,40905.0,83276,21004.0,2.59,MI
Santa Barbara,California,37.8,45068.0,46784.0,91852,19441.0,2.51,CA
Chino,California,36.5,50989.0,34610.0,85599,18666.0,3.62,CA
Tucson,Arizona,33.6,264893.0,266781.0,531674,82220.0,2.45,AZ
Joliet,Illinois,33.1,70863.0,79162.0,150025,22409.0,3.13,IL
Moreno Valley,California,30.7,98584.0,105597.0,204181,54442.0,3.9,CA
Elizabeth,New Jersey,34.2,65896.0,63116.0,129012,63413.0,3.18,NJ
Wyoming,Michigan,32.8,35967.0,39310.0,75277,8612.0,2.65,MI
Norman,Oklahoma,30.9,59483.0,60814.0,120297,8705.0,2.47,OK
Frisco,Texas,37.2,73989.0,80399.0,154388,30913.0,3.05,TX
Waterloo,Iowa,37.2,34488.0,33969.0,68457,5082.0,2.42,IA
Oakland,California,35.7,203827.0,215451.0,419278,113896.0,2.56,CA
Jonesboro,Arkansas,32.6,35666.0,38240.0,73906,3222.0,2.44,AR
Springfield,Missouri,34.1,81057.0,85741.0,166798,7765.0,2.12,MO
Mission,Texas,32.9,40530.0,42777.0,83307,22608.0,3.51,TX
Lansing,Michigan,31.4,54333.0,59777.0,114110,8371.0,2.39,MI
Bay,Texas,32.9,37977.0,37508.0,75485,13192.0,2.59,TX
Poinciana,Florida,34.2,38142.0,35801.0,73943,14349.0,3.93,FL
Davis,California,26.3,33493.0,34163.0,67656,13997.0,2.69,CA
Lehigh Acres,Florida,34.3,57856.0,61624.0,119480,31880.0,3.55,FL
Henderson,Nevada,42.5,139412.0,146246.0,285658,35666.0,2.55,NV
Framingham,Massachusetts,40.3,35442.0,35768.0,71210,19070.0,2.49,MA
Waco,Texas,29.3,63452.0,68890.0,132342,14235.0,2.5700000000000003,TX
Fort Worth,Texas,32.6,414126.0,422843.0,836969,143404.0,2.88,TX
Bellingham,Washington,30.7,41286.0,43857.0,85143,8713.0,2.44,WA
Maple Grove,Minnesota,38.6,31780.0,36601.0,68381,7645.0,2.64,MN
Torrance,California,41.2,73209.0,75259.0,148468,43096.0,2.7,CA
San Diego,California,34.5,693826.0,701081.0,1394907,373842.0,2.73,CA
Urban Honolulu,Hawaii,41.4,176807.0,175959.0,352766,101312.0,2.69,HI
Phoenix,Arizona,33.8,786833.0,776168.0,1563001,300702.0,2.89,AZ
Independence,Missouri,38.6,54348.0,62907.0,117255,4911.0,2.33,MO
McKinney,Texas,35.6,77339.0,85548.0,162887,25760.0,2.91,TX
Cranston,Rhode Island,39.9,38365.0,42712.0,81077,10631.0,2.56,RI
Peoria,Arizona,36.9,80139.0,91103.0,171242,14260.0,2.969999999999999,AZ
Fontana,California,29.5,100644.0,106828.0,207472,61448.0,4.15,CA
Indianapolis,Indiana,34.1,410615.0,437808.0,848423,72456.0,2.53,IN
Fall River,Massachusetts,39.3,43314.0,45456.0,88770,14775.0,2.21,MA
Yuba City,California,34.5,33654.0,33290.0,66944,18032.0,2.9,CA
Tuscaloosa,Alabama,29.1,47293.0,51045.0,98338,4706.0,2.67,AL
Pearland,Texas,33.9,52336.0,59329.0,111665,16882.0,3.0,TX
Palatine,Illinois,38.0,36506.0,32763.0,69269,21760.0,2.69,IL
San Angelo,Texas,32.8,49669.0,50744.0,100413,7859.0,2.5,TX
Murfreesboro,Tennessee,30.2,60704.0,65417.0,126121,8948.0,2.6,TN
Jacksonville,Florida,35.7,419203.0,448828.0,868031,85650.0,2.62,FL
Olathe,Kansas,33.0,65046.0,69270.0,134316,11913.0,2.969999999999999,KS
Redlands,California,36.2,33993.0,37035.0,71028,8681.0,2.8200000000000003,CA
Franklin,Tennessee,38.3,34991.0,37644.0,72635,6876.0,2.73,TN
Norwalk,Connecticut,42.4,40880.0,47603.0,88483,22328.0,2.7,CT
Nampa,Idaho,31.4,45651.0,44199.0,89850,6607.0,2.98,ID
Hialeah,Florida,43.0,111530.0,125552.0,237082,170148.0,3.31,FL
San Clemente,California,45.2,34076.0,31456.0,65532,8109.0,2.64,CA
Wichita,Kansas,34.6,192354.0,197601.0,389955,40270.0,2.56,KS
Redwood City,California,37.1,42676.0,42624.0,85300,27652.0,2.64,CA
Gilbert,Arizona,33.2,116711.0,130812.0,247523,24531.0,3.2,AZ
Cheektowaga,New York,40.7,37476.0,38599.0,76075,3532.0,2.3,NY
Plano,Texas,38.1,138565.0,145054.0,283619,74030.0,2.65,TX
Merced,California,29.7,40048.0,42392.0,82440,16348.0,3.15,CA
Oshkosh,Wisconsin,33.0,32905.0,33652.0,66557,2348.0,2.3,WI
Salem,Oregon,35.4,80839.0,83704.0,164543,19668.0,2.69,OR
Arden-Arcade,California,41.5,47596.0,48680.0,96276,13458.0,2.18,CA
Pasadena,Texas,31.5,78827.0,74959.0,153786,38072.0,2.95,TX
Livonia,Michigan,47.4,45369.0,49264.0,94633,7175.0,2.52,MI
Lowell,Massachusetts,33.4,54422.0,56298.0,110720,33414.0,2.8,MA
Hesperia,California,29.4,43588.0,49698.0,93286,16667.0,3.52,CA
Ogden,Utah,31.3,44323.0,41127.0,85450,12791.0,2.68,UT
Clifton,New Jersey,38.5,41932.0,44409.0,86341,27979.0,3.11,NJ
Plymouth,Minnesota,38.4,39035.0,36893.0,75928,8830.0,2.46,MN
Whittier,California,36.1,44397.0,43039.0,87436,17145.0,3.11,CA
Toms River,New Jersey,43.7,43864.0,43886.0,87750,6852.0,2.71,NJ
Dale City,Virginia,33.4,35984.0,35415.0,71399,22306.0,3.65,VA
Casas Adobes,Arizona,44.8,30890.0,34375.0,65265,7024.0,2.24,AZ
Fort Collins,Colorado,29.6,80893.0,80288.0,161181,9704.0,2.45,CO
Yorba Linda,California,45.5,31960.0,36006.0,67966,15532.0,3.0,CA
Hayward,California,34.3,78152.0,80148.0,158300,60970.0,3.32,CA
San Mateo,California,39.3,50966.0,52558.0,103524,34957.0,2.64,CA
Woodbury,Minnesota,37.7,31982.0,35868.0,67850,9477.0,2.719999999999999,MN
Dearborn,Michigan,33.5,46482.0,48698.0,95180,23920.0,3.04,MI
Ann Arbor,Michigan,28.1,58789.0,58281.0,117070,20717.0,2.17,MI
Cincinnati,Ohio,32.7,143654.0,154883.0,298537,16896.0,2.08,OH
Bayamón,Puerto Rico,39.4,80128.0,90131.0,170259,,,PR
South Bend,Indiana,32.4,50483.0,53274.0,103757,8779.0,2.719999999999999,IN
Hammond,Indiana,36.0,38923.0,38687.0,77610,9224.0,2.61,IN
Carson,California,40.4,43790.0,49506.0,93296,33860.0,3.7,CA
Port Saint Lucie,Florida,42.1,84069.0,95341.0,179410,34003.0,2.91,FL
Salinas,California,30.4,77765.0,79621.0,157386,58693.0,3.719999999999999,CA
Asheville,North Carolina,37.9,42100.0,46407.0,88507,6630.0,2.18,NC
Washington,District of Columbia,33.8,319705.0,352523.0,672228,95117.0,2.24,DC
New York,New York,36.0,4081698.0,4468707.0,8550405,3212500.0,2.68,NY
Baldwin Park,California,35.8,38747.0,38309.0,77056,34322.0,4.13,CA
Union City,California,38.5,38599.0,35911.0,74510,32752.0,3.46,CA
Lakeland,Florida,38.1,47840.0,56570.0,104410,11592.0,2.56,FL
Eau Claire,Wisconsin,32.0,32327.0,35106.0,67433,2833.0,2.4,WI
Laguna Niguel,California,45.8,30193.0,35619.0,65812,12571.0,2.58,CA
Sterling Heights,Michigan,39.6,64985.0,67077.0,132062,34313.0,2.66,MI
College Station,Texas,22.9,54125.0,53774.0,107899,16145.0,2.52,TX
