City,State,Median Age,Male Population,Female Population,Total Population,Foreign-born,Average Household Size,State Code
Rockford,Illinois,36.3,71076.0,78270.0,149346,18323.0,2.52,IL
Denton,Texas,28.7,62478.0,68569.0,131047,18451.0,2.66,TX
Miami Beach,Florida,42.5,48090.0,44221.0,92311,49908.0,2.1,FL
Modesto,California,35.2,104852.0,106405.0,211257,39613.0,2.969999999999999,CA
Southfield,Michigan,41.6,31369.0,41808.0,73177,4011.0,2.27,MI
Portland,Oregon,36.7,313516.0,318671.0,632187,86041.0,2.43,OR
North Little Rock,Arkansas,33.6,31671.0,34835.0,66506,2787.0,2.62,AR
Yonkers,New York,38.0,96580.0,104538.0,201118,61247.0,2.8,NY
Atlanta,Georgia,33.8,223960.0,239915.0,463875,32016.0,2.15,GA
Cambridge,Massachusetts,31.5,55421.0,54981.0,110402,27757.0,2.06,MA
Wilmington,Delaware,36.4,32680.0,39277.0,71957,3336.0,2.45,DE
Fargo,North Dakota,30.7,60560.0,58690.0,119250,9428.0,2.18,ND
Glendale,California,42.1,98181.0,102844.0,201025,111510.0,2.69,CA
Abilene,Texas,31.3,65212.0,60664.0,125876,8129.0,2.64,TX
Bismarck,North Dakota,38.0,34675.0,35565.0,70240,2064.0,2.11,ND
Lawton,Oklahoma,31.1,51099.0,45560.0,96659,6123.0,2.719999999999999,OK
Fremont,California,38.3,114383.0,117808.0,232191,109427.0,3.12,CA
Redding,California,38.8,42530.0,49049.0,91579,5181.0,2.42,CA
Johnson City,Tennessee,38.2,31019.0,34350.0,65369,2878.0,2.18,TN
San Tan Valley,Arizona,31.3,40429.0,42368.0,82797,5757.0,3.44,AZ
Deerfield Beach,Florida,41.4,37155.0,42614.0,79769,23642.0,2.46,FL
Warren,Michigan,43.2,64063.0,71293.0,135356,18822.0,2.45,MI
Fresno,California,30.0,256130.0,263942.0,520072,103453.0,3.12,CA
Auburn,Washington,37.1,36837.0,39743.0,76580,14842.0,2.73,WA
Kissimmee,Florida,36.7,33283.0,35869.0,69152,16879.0,3.01,FL
Grand Prairie,Texas,33.1,90811.0,96944.0,187755,44888.0,3.18,TX
Chattanooga,Tennessee,36.6,83640.0,92957.0,176597,10599.0,2.4,TN
Ontario,California,31.0,85059.0,86141.0,171200,48557.0,3.52,CA
Newton,Massachusetts,42.3,41985.0,46824.0,88809,21692.0,2.71,MA
Frederick,Maryland,36.1,33146.0,36336.0,69482,14211.0,2.48,MD
Visalia,California,32.6,63695.0,66399.0,130094,20779.0,3.11,CA
Clarksville,Tennessee,29.7,75029.0,74161.0,149190,8211.0,2.64,TN
Saint George,Utah,37.3,38732.0,41475.0,80207,4824.0,2.81,UT
Davie,Florida,40.8,48754.0,52140.0,100894,26532.0,2.719999999999999,FL
Medford,Oregon,38.6,39606.0,40189.0,79795,6185.0,2.65,OR
North Richland Hills,Texas,39.9,35257.0,33948.0,69205,7854.0,2.64,TX
Skokie,Illinois,43.4,31382.0,33437.0,64819,27424.0,2.78,IL
Missouri City,Texas,37.2,34932.0,36846.0,71778,18556.0,3.03,TX
Miramar,Florida,36.6,66157.0,70958.0,137115,57179.0,3.41,FL
West Jordan,Utah,30.8,57898.0,54044.0,111942,11492.0,3.46,UT
Evansville,Indiana,38.0,57198.0,60481.0,117679,3169.0,2.25,IN
The Woodlands,Texas,38.8,56083.0,63061.0,119144,21188.0,2.93,TX
Town 'n' Country,Florida,38.1,39410.0,39586.0,78996,22135.0,2.61,FL
Rochester Hills,Michigan,41.2,36356.0,37076.0,73432,13708.0,2.66,MI
Longmont,Colorado,36.8,43941.0,48280.0,92221,10424.0,2.63,CO
Suffolk,Virginia,38.2,43048.0,45113.0,88161,2829.0,2.719999999999999,VA
Colorado Springs,Colorado,34.8,225544.0,231018.0,456562,35320.0,2.48,CO
Lewisville,Texas,31.6,52776.0,52032.0,104808,24865.0,2.78,TX
Portsmouth,Virginia,33.6,45900.0,50301.0,96201,1815.0,2.54,VA
Santa Maria,California,30.1,53320.0,51762.0,105082,39192.0,3.83,CA
Mount Pleasant,South Carolina,42.7,39429.0,41880.0,81309,4701.0,2.53,SC
Saint Petersburg,Florida,41.8,123524.0,133564.0,257088,28567.0,2.42,FL
Schaumburg,Illinois,36.9,35971.0,39840.0,75811,24614.0,2.719999999999999,IL
Manteca,California,35.3,37053.0,38397.0,75450,13942.0,3.25,CA
Spokane Valley,Washington,36.0,49933.0,44975.0,94908,4199.0,2.39,WA
Aurora,Colorado,34.2,177899.0,180971.0,358870,65816.0,2.8200000000000003,CO
Rockville,Maryland,38.1,31205.0,35793.0,66998,25047.0,2.6,MD
Roswell,Georgia,38.8,48637.0,45859.0,94496,16501.0,2.7,GA
Knoxville,Tennessee,33.1,89978.0,95334.0,185312,10285.0,2.21,TN
San Marcos,California,35.4,45246.0,47688.0,92934,21558.0,3.13,CA
Vallejo,California,37.8,58379.0,62890.0,121269,30592.0,2.83,CA
San Francisco,California,38.3,439752.0,425064.0,864816,297199.0,2.37,CA
Mesquite,Texas,34.6,69240.0,75884.0,145124,26755.0,2.96,TX
Chula Vista,California,34.6,131485.0,134269.0,265754,82710.0,3.32,CA
Lexington-Fayette  county,Kentucky,34.4,154032.0,160456.0,314488,28613.0,2.34,KY
Yakima,Washington,34.0,45147.0,48553.0,93700,15717.0,2.74,WA
Wichita Falls,Texas,34.0,55775.0,48934.0,104709,9855.0,2.41,TX
Beaverton,Oregon,35.6,47325.0,49252.0,96577,18933.0,2.46,OR
Flagstaff,Arizona,23.9,33224.0,37093.0,70317,4262.0,2.55,AZ
Cape Coral,Florida,45.0,85626.0,89604.0,175230,24185.0,2.85,FL
Lee's Summit,Missouri,36.8,48353.0,46715.0,95068,3803.0,2.68,MO
Oklahoma City,Oklahoma,34.1,309227.0,322036.0,631263,80165.0,2.58,OK
McAllen,Texas,32.3,68332.0,71921.0,140253,37691.0,3.19,TX
Odessa,Texas,31.2,61119.0,57861.0,118980,15845.0,2.92,TX
Toledo,Ohio,36.1,135455.0,144323.0,279778,9257.0,2.29,OH
Carrollton,Texas,36.9,66928.0,66218.0,133146,35327.0,2.78,TX
Lafayette,Louisiana,31.7,64018.0,63643.0,127661,5396.0,2.54,LA
Gresham,Oregon,36.7,53866.0,56716.0,110582,17860.0,2.67,OR
Menifee,California,37.1,42866.0,44297.0,87163,12481.0,3.06,CA
Livermore,California,36.7,41522.0,46595.0,88117,13959.0,2.91,CA
Edmond,Oklahoma,32.5,45191.0,44899.0,90090,5585.0,2.68,OK
Baltimore,Maryland,34.7,294027.0,327822.0,621849,49857.0,2.51,MD
Layton,Utah,29.5,37748.0,36394.0,74142,4268.0,3.24,UT
Roseville,California,38.4,62591.0,67691.0,130282,18161.0,2.719999999999999,CA
Tempe,Arizona,28.8,91350.0,84476.0,175826,26620.0,2.44,AZ
Concord,North Carolina,35.7,42732.0,44961.0,87693,8847.0,2.719999999999999,NC
Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,33878.0,3.18,CA
North Charleston,South Carolina,30.7,56549.0,55315.0,111864,8789.0,2.8200000000000003,SC
Riverview,Florida,32.2,44210.0,45536.0,89746,12240.0,3.22,FL
Plantation,Florida,40.6,42881.0,49674.0,92555,27902.0,2.73,FL
Lubbock,Texas,29.2,122320.0,126731.0,249051,14226.0,2.61,TX
Alhambra,California,41.0,42184.0,43388.0,85572,44441.0,2.89,CA
Renton,Washington,36.3,52779.0,47468.0,100247,28962.0,2.5700000000000003,WA
Grand Rapids,Michigan,32.1,95669.0,99430.0,195099,19176.0,2.56,MI
Miami,Florida,40.4,215840.0,225149.0,440989,260789.0,2.5,FL
Orlando,Florida,33.1,130940.0,139977.0,270917,50558.0,2.42,FL
Sacramento,California,33.7,237724.0,252991.0,490715,112579.0,2.73,CA
Vancouver,Washington,37.2,82958.0,89895.0,172853,21748.0,2.49,WA
Rancho Cordova,California,33.8,34844.0,36182.0,71026,17020.0,2.86,CA
South Jordan,Utah,33.8,33669.0,32970.0,66639,6142.0,3.61,UT
Trenton,New Jersey,33.3,42581.0,41650.0,84231,20428.0,3.04,NJ
Arlington Heights,Illinois,45.9,37627.0,39369.0,76996,14630.0,2.38,IL
Deltona,Florida,39.9,44853.0,43621.0,88474,7098.0,2.89,FL
Kansas City,Kansas,33.4,74606.0,76655.0,151261,25507.0,2.71,KS
Surprise,Arizona,39.4,62875.0,65567.0,128442,9929.0,2.9,AZ
Charleston,South Carolina,35.0,63956.0,71568.0,135524,5767.0,2.4,SC
Flower Mound,Texas,40.2,35200.0,35824.0,71024,6860.0,3.01,TX
Bloomington,Illinois,35.1,37972.0,40323.0,78295,7287.0,2.34,IL
Florence-Graham,California,30.2,34186.0,32173.0,66359,28696.0,4.57,CA
Little Rock,Arkansas,36.6,96997.0,100989.0,197986,16640.0,2.36,AR
Newport News,Virginia,32.8,88385.0,94000.0,182385,12589.0,2.46,VA
Temecula,California,34.2,54407.0,57619.0,112026,18884.0,3.34,CA
Greenville,North Carolina,26.2,39897.0,50691.0,90588,4183.0,2.4,NC
Santa Fe,New Mexico,44.1,40601.0,43511.0,84112,13824.0,2.41,NM
Baton Rouge,Louisiana,31.2,111492.0,117104.0,228596,12268.0,2.52,LA
Raleigh,North Carolina,32.8,219184.0,232765.0,451949,65125.0,2.42,NC
Montgomery,Alabama,35.4,94582.0,106004.0,200586,9337.0,2.41,AL
Meridian,Idaho,38.0,43353.0,47400.0,90753,8110.0,2.54,ID
The Villages,Florida,70.5,,,72590,4034.0,,FL
West Valley City,Utah,30.7,68235.0,67989.0,136224,30712.0,3.81,UT
Delray Beach,Florida,47.9,32219.0,34042.0,66261,16639.0,2.35,FL
Citrus Heights,California,37.8,41982.0,45071.0,87053,9466.0,2.49,CA
Elgin,Illinois,35.7,54852.0,56224.0,111076,30167.0,2.969999999999999,IL
Bridgeport,Connecticut,34.1,71509.0,76110.0,147619,44475.0,2.86,CT
Tracy,California,35.5,43156.0,43937.0,87093,25410.0,3.42,CA
Youngs,Ohio,37.5,30758.0,33851.0,64609,1058.0,2.22,OH
Orem,Utah,26.1,48695.0,45762.0,94457,12808.0,3.26,UT
Stamford,Connecticut,35.4,64941.0,63936.0,128877,44003.0,2.7,CT
Fort Lauderdale,Florida,42.8,93948.0,84639.0,178587,47582.0,2.38,FL
Boca Raton,Florida,47.3,44760.0,48466.0,93226,21117.0,2.22,FL
Warner Robins,Georgia,31.4,35093.0,38909.0,74002,3210.0,2.5,GA
Lafayette,Indiana,33.5,34313.0,36857.0,71170,5697.0,2.19,IN
Brownsville,Texas,30.6,87689.0,96199.0,183888,53301.0,3.48,TX
Allen,Texas,37.2,51324.0,46814.0,98138,19649.0,3.04,TX
Victoria,Texas,35.8,32290.0,35291.0,67581,4480.0,2.7,TX
Sunrise,Florida,37.7,41471.0,51235.0,92706,38209.0,2.98,FL
Pharr,Texas,26.9,35242.0,41293.0,76535,25532.0,3.67,TX
Davenport,Iowa,35.2,50123.0,52454.0,102577,4065.0,2.39,IA
Glendale,Arizona,34.4,116795.0,123319.0,240114,44133.0,2.89,AZ
San Juan,Puerto Rico,41.4,155408.0,186829.0,342237,,,PR
Everett,Washington,37.0,56212.0,51800.0,108012,19499.0,2.36,WA
Milpitas,California,36.8,40098.0,37519.0,77617,39436.0,3.32,CA
High Point,North Carolina,35.5,51751.0,58077.0,109828,16315.0,2.65,NC
Passaic,New Jersey,30.4,36505.0,34577.0,71082,24174.0,3.56,NJ
Lawrence,Massachusetts,30.8,37464.0,42776.0,80240,29170.0,3.17,MA
East Orange,New Jersey,35.5,29995.0,34967.0,64962,15164.0,2.85,NJ
Alameda,California,41.4,37747.0,40867.0,78614,18841.0,2.52,CA
Des Moines,Iowa,34.5,103726.0,106591.0,210317,23857.0,2.41,IA
South Gate,California,32.5,47758.0,48641.0,96399,40571.0,3.969999999999999,CA
San Ramon,California,39.1,39221.0,36911.0,76132,29691.0,3.09,CA
Bend,Oregon,37.3,42294.0,44723.0,87017,3032.0,2.39,OR
Mobile,Alabama,38.0,91275.0,103030.0,194305,7234.0,2.4,AL
League City,Texas,35.9,49354.0,48996.0,98350,8361.0,2.719999999999999,TX
Killeen,Texas,29.2,69442.0,71367.0,140809,15769.0,2.719999999999999,TX
Arvada,Colorado,41.0,54870.0,60165.0,115035,4921.0,2.49,CO
Folsom,California,40.9,41051.0,35317.0,76368,13234.0,2.62,CA
Alafaya,Florida,33.5,39504.0,45760.0,85264,15842.0,2.94,FL
Avondale,Arizona,29.1,38712.0,41971.0,80683,8355.0,3.18,AZ
Fayetteville,Arkansas,27.1,41959.0,40873.0,82832,6313.0,2.28,AR
Richardson,Texas,35.5,54676.0,56151.0,110827,29579.0,2.83,TX
Aurora,Illinois,31.7,101964.0,101751.0,203715,50980.0,3.3,IL
Jackson,Mississippi,31.7,79039.0,91772.0,170811,1789.0,2.65,MS
Bellevue,Washington,37.4,70763.0,69051.0,139814,54654.0,2.43,WA
Hollywood,Florida,41.4,75358.0,74363.0,149721,55158.0,2.65,FL
Palmdale,California,32.6,76361.0,81989.0,158350,41974.0,3.54,CA
Riverside,California,31.4,160613.0,161810.0,322423,69584.0,3.34,CA
Akron,Ohio,38.1,96886.0,100667.0,197553,10024.0,2.24,OH
Gaithersburg,Maryland,35.7,32211.0,35234.0,67445,28133.0,2.73,MD
South San Francisco,California,39.4,34177.0,33094.0,67271,27528.0,3.33,CA
Pasco,Washington,28.6,35298.0,32799.0,68097,16265.0,3.45,WA
Bolingbrook,Illinois,33.7,36295.0,35801.0,72096,15212.0,3.42,IL
Oxnard,California,31.0,101906.0,105346.0,207252,78678.0,4.08,CA
Gastonia,North Carolina,36.9,35527.0,39023.0,74550,5715.0,2.67,NC
Fayetteville,North Carolina,30.7,101051.0,100914.0,201965,12863.0,2.5,NC
New Braunfels,Texas,37.0,33071.0,36852.0,69923,5405.0,2.85,TX
Salt Lake City,Utah,32.1,98364.0,94296.0,192660,32166.0,2.38,UT
Columbia,Maryland,37.9,52202.0,51265.0,103467,23249.0,2.68,MD
Lincoln,Nebraska,32.3,138544.0,138802.0,277346,22958.0,2.4,NE
Bayonne,New Jersey,39.7,32705.0,33598.0,66303,21899.0,2.62,NJ
Homestead,Florida,31.4,31401.0,35099.0,66500,24408.0,3.48,FL
Jackson,Tennessee,35.3,30007.0,36973.0,66980,2097.0,2.52,TN
Waukegan,Illinois,32.3,45514.0,42833.0,88347,30997.0,2.92,IL
Topeka,Kansas,37.1,60879.0,66378.0,127257,6711.0,2.32,KS
Norfolk,Virginia,30.2,128917.0,117476.0,246393,16702.0,2.51,VA
Boston,Massachusetts,31.8,322149.0,347320.0,669469,190123.0,2.38,MA
Johns Creek,Georgia,39.0,40282.0,43057.0,83339,29000.0,3.19,GA
Lynn,Massachusetts,34.8,44598.0,47861.0,92459,29899.0,2.81,MA
San Antonio,Texas,33.1,721405.0,748419.0,1469824,208046.0,2.93,TX
Simi Valley,California,39.0,63243.0,63523.0,126766,23260.0,3.13,CA
Winston-Salem,North Carolina,34.7,112520.0,128712.0,241232,24302.0,2.47,NC
Dallas,Texas,32.6,639019.0,661063.0,1300082,326825.0,2.59,TX
Laredo,Texas,28.8,124305.0,131484.0,255789,68427.0,3.66,TX
Cary,North Carolina,39.9,78932.0,81582.0,160514,30008.0,2.61,NC
Parma,Ohio,40.8,38425.0,41518.0,79943,6909.0,2.42,OH
Lauderhill,Florida,35.7,32813.0,38761.0,71574,25471.0,3.02,FL
Pine Hills,Florida,29.2,35344.0,40737.0,76081,20735.0,3.3,FL
Carmel,Indiana,39.9,42928.0,46101.0,89029,9645.0,2.71,IN
Bakersfield,California,30.6,182154.0,191473.0,373627,71575.0,3.23,CA
Saint Cloud,Minnesota,30.7,34311.0,33942.0,68253,5757.0,2.41,MN
West Palm Beach,Florida,39.6,49262.0,57520.0,106782,30675.0,2.53,FL
Paterson,New Jersey,34.0,70640.0,77117.0,147757,49810.0,3.37,NJ
Clovis,California,37.8,52392.0,51780.0,104172,13409.0,2.76,CA
Seattle,Washington,35.5,345659.0,338784.0,684443,119840.0,2.13,WA
Missoula,Montana,34.7,35002.0,36022.0,71024,2771.0,2.15,MT
West Covina,California,39.8,51629.0,56860.0,108489,37038.0,3.56,CA
El Paso,Texas,33.1,332797.0,348339.0,681136,159709.0,3.03,TX
Hawthorne,California,33.7,43682.0,44762.0,88444,32107.0,2.969999999999999,CA
Lorain,Ohio,35.6,30844.0,32807.0,63651,1531.0,2.52,OH
Cicero,Illinois,28.5,43153.0,40714.0,83867,33801.0,3.89,IL
Concord,California,39.6,62310.0,66358.0,128668,37428.0,2.719999999999999,CA
Norwalk,California,35.0,53125.0,54020.0,107145,39396.0,3.88,CA
Atascocita,Texas,32.8,37424.0,40816.0,78240,8657.0,3.03,TX
San Bernardino,California,28.5,108671.0,107466.0,216137,55135.0,3.55,CA
Worcester,Massachusetts,34.9,90951.0,93855.0,184806,36907.0,2.43,MA
Cedar Park,Texas,34.4,31248.0,33589.0,64837,5207.0,3.05,TX
Pembroke Pines,Florida,40.3,77050.0,89574.0,166624,62210.0,2.94,FL
Amarillo,Texas,33.8,99391.0,100260.0,199651,21124.0,2.64,TX
Chesapeake,Virginia,36.7,114964.0,120465.0,235429,13966.0,2.73,VA
Corona,California,37.1,79749.0,84493.0,164242,42131.0,2.969999999999999,CA
Broken Arrow,Oklahoma,36.8,52136.0,55459.0,107595,6845.0,2.77,OK
Long Beach,California,34.6,238159.0,236013.0,474172,127764.0,2.78,CA
Coral Springs,Florida,37.2,63316.0,66186.0,129502,38552.0,3.17,FL
Mayagüez,Puerto Rico,38.1,30799.0,35782.0,66581,,,PR
Chandler,Arizona,35.6,128885.0,131948.0,260833,38721.0,2.78,AZ
Sunrise Manor,Nevada,32.5,93505.0,99103.0,192608,56530.0,3.25,NV
Anchorage,Alaska,32.2,152945.0,145750.0,298695,33258.0,2.77,AK
Santa Rosa,California,37.9,86840.0,88149.0,174989,33015.0,2.7,CA
Fairfield,California,34.7,55550.0,57422.0,112972,24503.0,3.14,CA
Centennial,Colorado,42.4,53222.0,56504.0,109726,9501.0,2.66,CO
Elk Grove,California,36.1,80057.0,86833.0,166890,38693.0,3.34,CA
Pompano Beach,Florida,42.5,56569.0,51202.0,107771,32733.0,2.55,FL
Kansas City,Missouri,35.9,228430.0,246931.0,475361,37787.0,2.35,MO
Philadelphia,Pennsylvania,34.1,741270.0,826172.0,1567442,205339.0,2.61,PA
Sioux City,Iowa,34.3,38827.0,43949.0,82776,7471.0,2.5700000000000003,IA
Reading,Pennsylvania,29.4,43668.0,44205.0,87873,17043.0,2.95,PA
Palo Alto,California,40.2,31451.0,35397.0,66848,23348.0,2.55,CA
Mission Viejo,California,44.9,48849.0,48314.0,97163,17308.0,2.85,CA
Reno,Nevada,35.7,122292.0,119151.0,241443,37070.0,2.46,NV
Goodyear,Arizona,38.6,36711.0,42292.0,79003,11774.0,2.969999999999999,AZ
Hillsboro,Oregon,35.3,50926.0,51434.0,102360,19531.0,2.68,OR
Greensboro,North Carolina,35.5,132251.0,153093.0,285344,26667.0,2.36,NC
Louisville/Jefferson County metro government,Kentucky,37.5,298451.0,316938.0,615389,37875.0,2.45,KY
Thousand Oaks,California,44.8,65113.0,64216.0,129329,25330.0,2.79,CA
Las Cruces,New Mexico,32.7,47835.0,53809.0,101644,11888.0,2.58,NM
El Monte,California,37.3,57961.0,58784.0,116745,59655.0,3.67,CA
Minneapolis,Minnesota,32.4,206547.0,204388.0,410935,70769.0,2.26,MN
Albuquerque,New Mexico,36.0,273323.0,285808.0,559131,58200.0,2.49,NM
Sugar Land,Texas,42.1,43889.0,44240.0,88129,31169.0,2.95,TX
Yuma,Arizona,33.4,48298.0,45847.0,94145,19326.0,2.64,AZ
Camden,New Jersey,27.9,36437.0,39694.0,76131,11317.0,3.0,NJ
Guaynabo,Puerto Rico,42.2,33066.0,37426.0,70492,,,PR
Eugene,Oregon,33.4,79071.0,84377.0,163448,14503.0,2.34,OR
Walnut Creek,California,47.6,31994.0,36912.0,68906,13624.0,2.22,CA
Mount Vernon,New York,38.5,31876.0,36745.0,68621,23777.0,2.85,NY
Bloomington,Minnesota,40.9,43318.0,43118.0,86436,10728.0,2.3,MN
Loveland,Colorado,37.6,37042.0,38146.0,75188,3050.0,2.53,CO
Brooklyn Park,Minnesota,35.1,37845.0,41305.0,79150,17490.0,2.85,MN
Chicago,Illinois,34.2,1320015.0,1400541.0,2720556,573463.0,2.53,IL
Fort Myers,Florida,37.3,36850.0,37165.0,74015,15365.0,2.45,FL
Farmington Hills,Michigan,42.1,37527.0,43805.0,81332,18033.0,2.41,MI
Gary,Indiana,38.1,35876.0,41478.0,77354,1884.0,2.35,IN
Weston,Florida,38.6,32956.0,36991.0,69947,30876.0,3.34,FL
Nashville,Tennessee,34.1,314231.0,340365.0,654596,88193.0,2.39,TN
Pueblo,Colorado,37.6,55635.0,53784.0,109419,3578.0,2.44,CO
Austin,Texas,32.7,475718.0,456122.0,931840,181686.0,2.5,TX
Santa Clarita,California,38.1,90192.0,92175.0,182367,40666.0,3.02,CA
Pawtucket,Rhode Island,39.2,36072.0,35511.0,71583,17884.0,2.41,RI
Lancaster,California,30.9,80668.0,80445.0,161113,17247.0,3.25,CA
Chico,California,29.9,46168.0,44168.0,90336,8425.0,2.5,CA
Federal Way,Washington,36.4,49151.0,46037.0,95188,18565.0,2.68,WA
Caguas,Puerto Rico,40.4,34743.0,42265.0,77008,,,PR
Roanoke,Virginia,36.9,47252.0,52645.0,99897,7346.0,2.35,VA
Kent,Washington,33.4,61825.0,65137.0,126962,38175.0,3.06,WA
Highlands Ranch,Colorado,39.6,49186.0,53281.0,102467,8827.0,2.719999999999999,CO
Miami Gardens,Florida,34.9,50719.0,62480.0,113199,33394.0,3.75,FL
Jacksonville,North Carolina,24.2,40015.0,27348.0,67363,3732.0,2.51,NC
Vista,California,29.3,50680.0,50204.0,100884,23271.0,3.52,CA
Las Vegas,Nevada,37.5,310568.0,313201.0,623769,127609.0,2.79,NV
Boynton Beach,Florida,45.8,33701.0,40271.0,73972,15431.0,2.45,FL
Silver Spring,Maryland,33.8,40601.0,41862.0,82463,30908.0,2.6,MD
Lakewood,California,39.9,41523.0,40069.0,81592,18274.0,3.13,CA
Downey,California,37.3,53006.0,61205.0,114211,39977.0,3.45,CA
Irving,Texas,32.3,117189.0,119428.0,236617,86756.0,2.78,TX
Manchester,New Hampshire,37.3,54845.0,55378.0,110223,14506.0,2.4,NH
Waukesha,Wisconsin,35.8,36263.0,35713.0,71976,4982.0,2.35,WI
Los Angeles,California,35.0,1958998.0,2012898.0,3971896,1485425.0,2.86,CA
Corpus Christi,Texas,35.0,160488.0,163594.0,324082,30834.0,2.69,TX
Lake Charles,Louisiana,31.8,35678.0,40388.0,76066,3215.0,2.36,LA
Arlington,Texas,32.6,191060.0,197062.0,388122,79271.0,2.89,TX
Perris,California,26.9,41623.0,33336.0,74959,23277.0,4.78,CA
Chino Hills,California,41.9,39639.0,38674.0,78313,24764.0,3.05,CA
San Leandro,California,41.8,43032.0,47679.0,90711,34293.0,2.79,CA
Duluth,Minnesota,34.7,41271.0,44855.0,86126,2258.0,2.25,MN
Carolina,Puerto Rico,42.0,64758.0,77308.0,142066,,,PR
San Buenaventura,California,37.7,53932.0,55785.0,109717,18025.0,2.68,CA
Harlingen,Texas,30.1,32404.0,33365.0,65769,10391.0,3.0,TX
Tyler,Texas,33.9,50422.0,53283.0,103705,8225.0,2.59,TX
Bellflower,California,33.4,38936.0,39498.0,78434,24607.0,3.58,CA
Ponce,Puerto Rico,40.5,56968.0,64615.0,121583,,,PR
